,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
D1,5.00E+03,3.11E+06,3.19E+06,1.80E+07,3.58E+07,5.37E+08,1.40E+10,2.83E+10,1.37E+11,2.05E+11,5.06E+11,4.69E+11,6.64E+11,7.35E+11,4.02E+12
D2,5.00E+03,3.51E+07,6.34E+07,2.82E+08,3.76E+08,9.37E+09,1.97E+10,1.80E+11,2.46E+11,3.49E+11,5.68E+11,7.85E+11,1.49E+10,2.34E+09,2.45E+09
D3,5.00E+03,9.00E+07,7.11E+07,8.02E+07,1.63E+07,4.82E+07,3.51E+08,1.27E+10,4.16E+10,1.23E+11,7.99E+10,4.07E+11,2.17E+11,4.98E+11,2.54E+11
D4,5.00E+03,1.35E+08,3.74E+08,3.67E+08,2.52E+09,2.39E+11,1.18E+11,4.99E+11,5.67E+11,2.23E+11,5.89E+10,9.07E+11,2.99E+11,4.01E+11,4.64E+11
D5,5.00E+03,2.51E+07,9.24E+06,1.21E+07,1.03E+07,1.42E+09,3.27E+09,1.90E+10,1.64E+11,2.12E+11,2.14E+11,1.10E+11,3.76E+11,3.49E+11,1.87E+11
D6,5.00E+03,6.43E+05,2.63E+07,6.72E+06,5.61E+06,1.12E+07,4.03E+08,1.02E+10,4.23E+09,1.68E+10,6.78E+10,4.99E+10,3.68E+10,6.24E+11,2.02E+11
D7,5.00E+03,3.70E+07,3.90E+07,5.09E+07,1.57E+08,4.54E+07,8.21E+09,1.49E+11,1.88E+11,5.53E+10,1.16E+12,3.84E+12,3.22E+12,6.86E+11,9.20E+11
D8,5.00E+03,1.14E+06,5.57E+05,2.97E+06,1.34E+06,4.95E+07,5.78E+08,3.12E+09,7.44E+09,1.75E+10,1.09E+10,2.15E+10,8.84E+10,9.10E+10,7.98E+10
D9,5.00E+03,3.80E+06,2.12E+06,9.18E+05,6.83E+06,1.77E+09,3.94E+07,9.85E+09,3.51E+10,2.68E+10,2.99E+10,4.69E+10,2.05E+11,2.62E+11,5.17E+10
D10,5.00E+03,3.59E+06,3.37E+06,2.16E+06,3.82E+06,2.15E+07,1.59E+08,5.59E+09,2.15E+10,2.42E+10,5.01E+10,3.61E+10,3.74E+10,7.65E+10,2.26E+10
