,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P1,5.00E+03,3.86E+05,2.55E+06,2.28E+05,3.30E+04,3.60E+05,9.21E+05,1.99E+06,1.39E+06,2.62E+06,9.05E+05,7.80E+05,1.11E+06,1.76E+07,3.24E+08
P2,5.00E+03,2.80E+06,5.13E+05,5.50E+05,5.85E+05,4.70E+06,1.28E+07,1.28E+08,5.07E+08,2.21E+09,4.56E+09,7.90E+09,8.93E+09,9.83E+09,2.65E+09
P3,5.00E+03,3.37E+05,8.21E+05,7.43E+06,7.88E+05,6.93E+05,4.39E+05,1.38E+07,4.05E+07,1.25E+08,1.91E+08,1.57E+08,3.09E+08,4.19E+09,5.02E+09
P4,5.00E+03,8.53E+06,1.11E+05,1.65E+06,3.85E+05,2.58E+07,1.67E+07,1.72E+07,5.38E+07,6.11E+07,2.91E+08,1.34E+08,3.24E+08,3.11E+09,5.02E+09
P5,5.00E+03,2.58E+06,4.95E+05,7.53E+05,1.17E+06,7.93E+06,1.53E+07,3.10E+07,8.27E+07,1.12E+08,1.62E+08,2.53E+08,3.47E+08,9.13E+08,1.44E+09
P6,5.00E+03,8.23E+05,9.81E+05,2.69E+06,7.47E+05,6.36E+05,8.70E+04,8.70E+06,2.24E+05,6.65E+06,5.63E+05,1.25E+06,2.77E+06,6.25E+06,7.56E+06
P7,5.00E+03,2.28E+06,7.42E+06,4.68E+06,5.90E+06,3.36E+06,2.71E+06,3.82E+05,1.58E+07,1.08E+06,1.24E+06,1.52E+08,5.34E+07,4.95E+08,5.01E+08
P8,5.00E+03,2.49E+05,1.59E+05,8.84E+05,3.31E+05,1.89E+05,2.97E+05,4.13E+05,1.11E+07,5.93E+06,1.48E+08,5.57E+08,4.43E+08,5.23E+08,6.02E+08
P9,5.00E+03,7.02E+05,3.54E+05,2.15E+05,3.84E+05,3.28E+06,7.72E+05,9.23E+06,1.93E+08,1.01E+08,1.33E+08,9.91E+07,3.18E+08,2.82E+08,2.32E+08
P10,5.00E+03,7.02E+05,3.05E+06,2.08E+06,5.78E+05,9.28E+05,1.73E+06,9.08E+06,2.88E+08,4.00E+08,2.89E+09,7.25E+08,3.23E+08,2.45E+08,1.93E+08
P11,5.00E+03,1.75E+05,2.77E+05,4.51E+05,2.13E+05,3.80E+05,6.07E+05,1.60E+06,3.90E+07,7.12E+07,7.91E+07,2.74E+07,1.02E+08,5.89E+08,4.30E+08
P12,5.00E+03,1.14E+05,1.94E+05,1.11E+05,1.35E+05,8.18E+04,9.63E+05,3.78E+06,4.53E+08,2.53E+08,6.58E+08,3.45E+08,1.52E+08,1.43E+09,7.15E+08
P13,5.00E+03,4.08E+05,6.82E+04,3.38E+05,5.86E+04,6.06E+05,2.39E+06,2.39E+06,2.51E+06,5.70E+06,7.24E+07,9.40E+08,1.13E+09,1.22E+09,7.55E+09
P14,5.00E+03,2.34E+05,9.12E+04,7.72E+04,4.12E+06,1.24E+06,7.83E+06,7.83E+06,7.13E+06,2.66E+07,7.43E+07,4.82E+07,8.87E+08,4.66E+09,5.14E+09
P15,5.00E+03,3.28E+04,5.43E+04,3.27E+04,1.29E+05,1.93E+05,7.92E+06,7.92E+06,1.21E+08,2.61E+08,3.44E+08,3.57E+09,2.05E+09,2.69E+09,9.35E+08
P16,5.00E+03,5.40E+04,5.98E+04,1.06E+05,6.80E+04,3.20E+05,1.00E+07,1.00E+07,6.10E+06,3.56E+07,2.95E+08,1.76E+09,1.66E+09,1.08E+10,1.38E+10
P17,5.00E+03,1.14E+04,5.98E+04,1.06E+05,6.80E+04,8.68E+05,9.03E+05,7.84E+05,5.52E+07,1.33E+07,9.08E+07,1.83E+09,1.26E+10,7.83E+08,1.06E+08
P18,5.00E+03,1.74E+07,1.90E+07,2.92E+07,2.95E+07,2.70E+07,6.06E+07,9.61E+07,1.09E+08,8.11E+07,1.19E+09,2.79E+09,3.18E+08,1.29E+08,3.20E+08
P19,5.00E+03,3.39E+04,4.16E+04,4.85E+04,9.22E+04,2.99E+05,2.55E+06,2.55E+06,7.63E+06,8.02E+06,8.11E+07,7.58E+08,2.32E+09,4.04E+09,1.03E+10
P20,5.00E+03,2.69E+05,4.32E+05,2.10E+05,3.09E+05,1.03E+06,3.88E+06,4.49E+06,3.59E+07,1.10E+08,5.56E+08,2.54E+09,3.61E+09,1.71E+09,2.47E+09
P21,5.00E+03,4.89E+05,1.43E+05,4.76E+05,3.27E+05,5.76E+05,1.44E+06,1.38E+06,1.63E+07,6.93E+06,1.29E+09,5.31E+09,1.43E+10,1.04E+10,8.12E+09
P22,5.00E+03,2.30E+05,8.91E+05,3.88E+05,4.72E+05,2.95E+05,1.06E+06,8.49E+06,1.50E+08,1.51E+08,9.51E+08,2.69E+09,3.95E+09,5.45E+09,2.97E+09
P23,5.00E+03,5.51E+05,7.90E+05,3.14E+05,5.40E+05,1.23E+06,2.49E+06,2.21E+06,7.77E+07,9.65E+07,3.04E+08,3.37E+09,1.50E+10,4.20E+09,5.63E+09
P24,5.00E+03,6.35E+05,1.43E+06,1.61E+06,4.22E+05,5.78E+05,8.77E+05,2.36E+07,4.72E+09,1.68E+10,1.69E+11,2.52E+10,2.85E+10,1.75E+10,9.48E+09
P25,5.00E+03,5.15E+05,2.77E+05,1.82E+05,1.69E+06,3.29E+05,4.37E+06,5.39E+06,1.20E+06,1.02E+07,1.01E+08,4.40E+08,6.95E+08,4.11E+09,7.24E+09
P26,5.00E+03,3.56E+05,3.88E+05,2.09E+05,2.11E+05,6.87E+05,2.76E+06,1.06E+08,4.74E+07,5.31E+07,4.26E+09,3.63E+09,7.70E+10,2.11E+08,1.76E+09
P27,5.00E+03,2.55E+05,7.59E+05,2.02E+05,2.56E+05,2.07E+05,3.16E+06,3.44E+07,1.03E+08,1.68E+08,2.33E+09,6.76E+08,6.77E+07,1.32E+10,5.79E+09
P28,5.00E+03,5.56E+05,5.70E+05,6.77E+05,5.21E+05,4.36E+05,5.43E+06,2.30E+07,3.40E+07,1.34E+08,1.92E+07,1.27E+09,1.32E+09,1.31E+09,2.31E+10
P29,5.00E+03,6.39E+05,3.22E+05,7.06E+05,2.75E+05,2.00E+05,2.59E+06,3.81E+06,8.39E+07,1.40E+08,1.18E+08,3.29E+09,9.81E+09,3.88E+09,3.91E+09
P30,5.00E+03,3.95E+06,3.25E+06,1.93E+06,8.98E+05,3.64E+06,6.46E+06,5.71E+08,1.83E+08,3.10E+08,7.84E+08,3.29E+09,9.81E+09,3.88E+09,3.91E+09
P31,5.00E+03,8.68E+04,1.51E+05,7.80E+05,1.25E+05,1.12E+05,1.15E+06,7.47E+06,3.41E+05,2.34E+06,2.56E+07,5.42E+08,1.22E+09,4.18E+08,4.63E+08
P32,5.00E+03,2.73E+05,2.98E+05,6.90E+05,1.58E+05,1.88E+05,7.20E+06,6.90E+07,1.35E+07,2.27E+07,2.77E+07,9.10E+08,5.43E+08,2.57E+08,2.32E+08
P33,5.00E+03,2.25E+05,8.10E+04,2.09E+06,3.92E+05,6.87E+05,1.08E+07,2.14E+08,3.37E+07,1.82E+08,2.81E+08,3.60E+08,1.57E+09,8.60E+07,3.24E+07
P34,5.00E+03,2.19E+05,1.04E+05,3.90E+05,5.60E+06,1.38E+07,6.20E+06,7.97E+07,2.26E+06,8.80E+06,4.57E+06,5.01E+07,4.95E+08,2.33E+08,3.46E+08
P35,5.00E+03,2.00E+07,3.58E+07,4.29E+07,4.24E+07,3.04E+07,1.16E+08,2.67E+09,1.75E+09,3.39E+09,5.49E+07,5.96E+06,3.57E+07,4.42E+06,4.56E+07
P36,5.00E+03,9.89E+04,6.03E+05,3.19E+05,4.02E+05,5.35E+05,5.49E+07,6.01E+05,3.16E+06,5.19E+06,1.14E+06,1.13E+06,9.69E+06,6.47E+06,2.41E+05
P37,5.00E+03,1.64E+07,1.48E+07,1.92E+06,1.77E+07,8.70E+06,1.55E+07,2.96E+07,2.63E+07,1.20E+07,1.79E+08,1.71E+09,6.28E+09,8.06E+09,1.91E+09
P38,5.00E+03,3.45E+05,3.46E+05,3.64E+06,1.48E+07,8.96E+07,5.62E+07,4.87E+07,5.91E+07,4.81E+07,1.61E+08,1.42E+08,2.27E+08,1.73E+09,1.65E+08
P39,5.00E+03,1.95E+05,4.53E+05,7.53E+05,3.51E+06,1.08E+08,2.55E+08,2.26E+08,1.32E+08,2.60E+08,3.93E+09,1.26E+08,2.27E+08,1.73E+09,1.65E+08
