xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
J1,5.00E+03,9.90E+04,1.43E+05,1.58E+05,2.71E+05,3.19E+05,1.56E+08,4.88E+08,1.18E+09,9.51E+08,7.17E+07,6.71E+06,1.17E+07,1.64E+07,6.54E+07
J2,5.00E+03,2.27E+06,5.56E+06,1.49E+07,3.37E+07,4.62E+09,1.81E+10,6.93E+10,7.89E+10,1.36E+11,3.42E+11,3.52E+11,2.35E+11,8.95E+10,6.59E+10
J3,5.00E+03,2.96E+05,2.33E+06,2.59E+04,1.54E+05,2.56E+05,1.11E+07,4.89E+07,2.39E+08,2.09E+08,5.05E+06,6.89E+06,4.13E+06,7.54E+06,2.85E+06
J4,5.00E+03,3.78E+05,7.66E+04,2.18E+04,3.15E+04,9.47E+05,1.14E+06,5.67E+05,2.14E+06,8.18E+06,5.67E+05,7.73E+05,5.89E+05,8.90E+05,2.85E+06
J5,5.00E+03,2.07E+05,1.54E+05,2.62E+05,1.26E+05,2.84E+06,1.08E+08,2.99E+08,4.08E+08,1.92E+08,1.55E+07,1.46E+07,9.24E+06,9.10E+07,4.12E+08
J6,5.00E+03,1.97E+05,2.32E+05,1.40E+05,4.73E+05,3.74E+04,8.08E+06,5.38E+07,2.79E+07,1.11E+08,2.10E+08,1.56E+08,4.06E+07,2.60E+09,3.79E+08
J7,5.00E+03,2.50E+05,5.91E+05,3.47E+04,1.55E+05,1.49E+05,8.11E+06,7.84E+07,6.28E+07,2.43E+07,5.39E+07,9.75E+06,2.43E+07,2.74E+07,4.79E+07
J8,5.00E+03,8.26E+04,7.18E+04,1.98E+05,1.29E+05,1.93E+06,1.32E+07,9.29E+07,5.30E+07,2.01E+08,8.83E+07,8.29E+08,1.59E+09,1.84E+09,1.41E+09
J9,5.00E+03,3.38E+05,4.33E+05,4.04E+05,1.73E+06,3.10E+08,2.11E+07,8.77E+09,1.12E+09,1.10E+10,1.71E+09,1.69E+09,1.84E+10,1.05E+08,4.23E+09
J10,5.00E+03,6.68E+06,1.66E+06,2.58E+06,2.03E+06,1.66E+07,3.70E+07,1.54E+09,9.84E+09,6.46E+09,3.39E+08,6.35E+08,1.41E+08,9.58E+08,2.17E+08
J11,5.00E+03,4.79E+05,1.86E+05,4.02E+05,5.13E+05,5.27E+06,8.33E+07,2.30E+08,3.85E+09,1.03E+10,8.29E+09,4.40E+09,4.42E+10,1.08E+10,6.06E+08
